,,,,,,
,"Day 1 (Jumat, 15 Mei 2026)",,,,,
,No,Start,End,Duration,Kegiatan,Deskripsi
,,,,,,
,1,09.00,09.15,15',Welcoming Participants,Peserta masuk ke platform (Zoom/Discord). Pemutaran video profil sponsor.
,2,09.15,09.45,30',Opening Ceremony,"1. Opening oleh MC & Ad-libs Sponsor (mention khusus sponsor utama).

2. Sambutan Build Club: Pengenalan komunitas dan pesan semangat untuk peserta.

3. Sambutan Ristek UI: Pengenalan organisasi dan pesan semangat untuk peserta.

4. Technical Briefing: Aturan kompetisi, kriteria penilaian, dan cara submission."
,3,09.45,11.45,2 x 60',2-Hours Build Sprint + Mentoring,"Waktu pengerjaan dimulai. Peserta bebas melakukan coding dan eksplorasi agen AI mereka.

Mentoring: Sesi opsional bagi peserta yang ingin berkonsultasi. Mentor akan tersedia di kanal Discord khusus."
,BREAK (ISHOMA) 11.45 - 12.45,,,,,
,4,12.45,22.45,10 x 60',10-Hours Build Sprint + Mentoring,"Melanjutkan pengerjaan. Peserta bebas melakukan coding dan eksplorasi agen AI mereka selama 10 jam.

Mentoring: Sesi opsional bagi peserta yang ingin berkonsultasi. Mentor akan tersedia di kanal Discord khusus."
,5,22.45,23.00,15',Submission,"Batas akhir pengumpulan seluruh persyaratan submission (kode, video, pitch deck, dll) di Devpost pukul 23.00 WIB. Rangkaian hari pertama selesai."
,,,,,,
,"Day 2 (Sabtu, 16 Mei 2026)",,,,,
,No,Start,End,Duration,Kegiatan,Deskripsi
,,,,,,
,1,08.00,20.00,12 x 60',12-Hours Judging Session,"Juri melakukan evaluasi mandiri melalui platform Gavel terhadap kualitas ide, logika agent, implementasi teknis, serta kegunaan solusi yang dibuat peserta."
,2,20.00,20.30,30',Score Recap & Announcement Preparation,"Waktu internal panitia untuk menarik data leaderboard final dari Gavel, mengonfirmasi pemenang kategori Doku, dan menyiapkan slide pengumuman. Peserta bersiap-siap untuk bergabung ke sesi Final Gathering."
,3,20.30,20.45,15',Final Gathering,Peserta kembali berkumpul secara online untuk sesi penutupan.
,4,20.45,21.45,60',Closing & Winner Announcement,"1. Recap Event.

2. Final Ad-libs Sponsor: Terima kasih kepada para pendukung acara.

3. Pengumuman Pemenang: Pengumuman juara dan penyerahan simbolis hadiah.

4. Closing Statement: Kata penutup dari ketua pelaksana.

5. Foto Bersama (virtual screen capture)."